years_through_first_top_20_hit,#_of_charting_songs_through_first_top_20_hit,top_20_hit_song_#_wks_on_chart_any_position,artist_genre_Blues,artist_genre_Classical,artist_genre_Country/Americana,artist_genre_Easy Listening/Vocal,artist_genre_Electronic/Dance,artist_genre_Experimental/Avant-Garde,artist_genre_Folk,artist_genre_Gospel/Christian/Religious,artist_genre_Hip Hop/Rap,artist_genre_Jazz,artist_genre_Latin,artist_genre_Metal,artist_genre_Pop,artist_genre_Punk/Hardcore,artist_genre_R&B/Soul/Funk,artist_genre_Reggae/Caribbean,artist_genre_Rock,artist_genre_World Music,artist_genre_unknown,#_of_genres_artist,harmonic_closeness_centrality_top20_rolling5,betweenness_centrality_top20_rolling5,eigenvector_centrality_top20_rolling5,top_20_hitmaker
1.0,3.0,22.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,2605.944552669532,0.0,0.0021034004457921,1.0
1.0,1.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0.0,0.0,0.0,0.0
1.0,2.0,10.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,1,3952.470274170252,0.0007150072838827,0.013039894493962,1.0
13.0,2.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,3958.780303030286,0.0012429758985135,0.0071863456607073,0.0
4.0,2.0,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,1,2068.306962482015,0.0033649441152507,0.0005290521415502,0.0
1.0,2.0,17.0,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,0,4,2685.1466089465985,0.0026901763987675,0.0041685415302277,1.0
3.0,5.0,21.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,0,3,2733.958152958027,0.0,8.284722519446215e-05,0.0
4.0,2.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0.0,0.0,0.0,0.0
1.0,2.0,45.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,3838.095238094669,0.0,0.0004930976052196,0.0
1.0,1.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0.0,0.0,0.0,0.0
4.0,7.0,25.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,2,4042.326984126393,6.018209718437071e-05,0.0003236921533288,0.0
1.0,2.0,20.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,1,4228.76979131937,3.9801238933134795e-07,0.0019486781588539,0.0
2.0,3.0,28.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0.0,0.0,0.0,0.0
1.0,1.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0.0,0.0,0.0,0.0
1.0,6.0,36.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,0,3,3885.488203463136,0.0002537872133811,0.0079547819448346,1.0
1.0,2.0,34.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,0,3,0.0,0.0,0.0,1.0
2.0,5.0,6.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0,4,4505.762265511877,8.585300519008562e-05,0.004918015747803,1.0
1.0,1.0,20.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,2015.9327200577789,0.0007657923054592,0.0008314672996444,1.0
2.0,2.0,24.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0,2,0.0,0.0,0.0,0.0
1.0,1.0,6.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,2926.2303751803406,2.506301880079852e-07,0.0067728851404997,0.0
1.0,1.0,42.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,0,3,4071.5404761903887,0.0018131869041967,0.009735084944445,1.0
5.0,5.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0.0,0.0,0.0,1.0
